"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2013","Belgium","Total","Males","Less than 18 years","Asylum applicant","Person","3,390"
"2013","Belgium","Total","Males","From 18 to 34 years","Asylum applicant","Person","6,875"
"2013","Belgium","Total","Males","From 35 to 64 years","Asylum applicant","Person","2,875"
"2013","Belgium","Total","Males","65 years or over","Asylum applicant","Person","80"
"2013","Belgium","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Belgium","Total","Females","Less than 18 years","Asylum applicant","Person","2,820"
"2013","Belgium","Total","Females","From 18 to 34 years","Asylum applicant","Person","3,420"
"2013","Belgium","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,675"
"2013","Belgium","Total","Females","65 years or over","Asylum applicant","Person","90"
"2013","Belgium","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Belgium","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Belgium","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Belgium","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Belgium","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Belgium","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Bulgaria","Total","Males","Less than 18 years","Asylum applicant","Person","1,290"
"2013","Bulgaria","Total","Males","From 18 to 34 years","Asylum applicant","Person","2,815"
"2013","Bulgaria","Total","Males","From 35 to 64 years","Asylum applicant","Person","790"
"2013","Bulgaria","Total","Males","65 years or over","Asylum applicant","Person","20"
"2013","Bulgaria","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Bulgaria","Total","Females","Less than 18 years","Asylum applicant","Person","975"
"2013","Bulgaria","Total","Females","From 18 to 34 years","Asylum applicant","Person","815"
"2013","Bulgaria","Total","Females","From 35 to 64 years","Asylum applicant","Person","410"
"2013","Bulgaria","Total","Females","65 years or over","Asylum applicant","Person","30"
"2013","Bulgaria","Total","Females","Unknown","Asylum applicant","Person","0"
